countyname,fipscounty,neighborname,fipsneighbor,county,state,neighbor_county,neighbor_state,count,distance_(mi)
"Jefferson County, NY",36045,"Jefferson County, NY",36045,Jefferson County,NY,Jefferson County,NY,1,0.0
"Kings County, NY",36047,"Kings County, NY",36047,Kings County,NY,Kings County,NY,1,0.0
"Lewis County, NY",36049,"Lewis County, NY",36049,Lewis County,NY,Lewis County,NY,1,0.0
"Livingston County, NY",36051,"Livingston County, NY",36051,Livingston County,NY,Livingston County,NY,1,0.0
"Madison County, NY",36053,"Madison County, NY",36053,Madison County,NY,Madison County,NY,1,0.0
"Monroe County, NY",36055,"Monroe County, NY",36055,Monroe County,NY,Monroe County,NY,1,0.0
"Montgomery County, NY",36057,"Montgomery County, NY",36057,Montgomery County,NY,Montgomery County,NY,1,0.0
"Nassau County, NY",36059,"Nassau County, NY",36059,Nassau County,NY,Nassau County,NY,1,0.0
"New York County, NY",36061,"New York County, NY",36061,New York County,NY,New York County,NY,1,0.0
"Niagara County, NY",36063,"Niagara County, NY",36063,Niagara County,NY,Niagara County,NY,1,0.0
"Oneida County, NY",36065,"Oneida County, NY",36065,Oneida County,NY,Oneida County,NY,1,0.0
"Onondaga County, NY",36067,"Onondaga County, NY",36067,Onondaga County,NY,Onondaga County,NY,1,0.0
"Ontario County, NY",36069,"Ontario County, NY",36069,Ontario County,NY,Ontario County,NY,1,0.0
"Orange County, NY",36071,"Orange County, NY",36071,Orange County,NY,Orange County,NY,1,0.0
"Orleans County, NY",36073,"Orleans County, NY",36073,Orleans County,NY,Orleans County,NY,1,0.0
"Oswego County, NY",36075,"Oswego County, NY",36075,Oswego County,NY,Oswego County,NY,1,0.0
"Otsego County, NY",36077,"Otsego County, NY",36077,Otsego County,NY,Otsego County,NY,1,0.0
"Putnam County, NY",36079,"Putnam County, NY",36079,Putnam County,NY,Putnam County,NY,1,0.0
"Queens County, NY",36081,"Queens County, NY",36081,Queens County,NY,Queens County,NY,1,0.0
"Rensselaer County, NY",36083,"Rensselaer County, NY",36083,Rensselaer County,NY,Rensselaer County,NY,1,0.0
"Richmond County, NY",36085,"Richmond County, NY",36085,Richmond County,NY,Richmond County,NY,1,0.0
"Rockland County, NY",36087,"Rockland County, NY",36087,Rockland County,NY,Rockland County,NY,1,0.0
"St. Lawrence County, NY",36089,"St. Lawrence County, NY",36089,St. Lawrence County,NY,St. Lawrence County,NY,1,0.0
"Saratoga County, NY",36091,"Saratoga County, NY",36091,Saratoga County,NY,Saratoga County,NY,1,0.0
"Schenectady County, NY",36093,"Schenectady County, NY",36093,Schenectady County,NY,Schenectady County,NY,1,0.0
"Schoharie County, NY",36095,"Schoharie County, NY",36095,Schoharie County,NY,Schoharie County,NY,1,0.0
"Schuyler County, NY",36097,"Schuyler County, NY",36097,Schuyler County,NY,Schuyler County,NY,1,0.0
"Seneca County, NY",36099,"Seneca County, NY",36099,Seneca County,NY,Seneca County,NY,1,0.0
"Steuben County, NY",36101,"Steuben County, NY",36101,Steuben County,NY,Steuben County,NY,1,0.0
"Suffolk County, NY",36103,"Suffolk County, NY",36103,Suffolk County,NY,Suffolk County,NY,1,0.0
"Sullivan County, NY",36105,"Sullivan County, NY",36105,Sullivan County,NY,Sullivan County,NY,1,0.0
"Tioga County, NY",36107,"Tioga County, NY",36107,Tioga County,NY,Tioga County,NY,1,0.0
"Tompkins County, NY",36109,"Tompkins County, NY",36109,Tompkins County,NY,Tompkins County,NY,1,0.0
"Ulster County, NY",36111,"Ulster County, NY",36111,Ulster County,NY,Ulster County,NY,1,0.0
"Warren County, NY",36113,"Warren County, NY",36113,Warren County,NY,Warren County,NY,1,0.0
"Washington County, NY",36115,"Washington County, NY",36115,Washington County,NY,Washington County,NY,1,0.0
"Wayne County, NY",36117,"Wayne County, NY",36117,Wayne County,NY,Wayne County,NY,1,0.0
"Westchester County, NY",36119,"Westchester County, NY",36119,Westchester County,NY,Westchester County,NY,1,0.0
"Wyoming County, NY",36121,"Wyoming County, NY",36121,Wyoming County,NY,Wyoming County,NY,1,0.0
"Yates County, NY",36123,"Yates County, NY",36123,Yates County,NY,Yates County,NY,1,0.0
"Anderson County, TX",48001,"Anderson County, TX",48001,Anderson County,TX,Anderson County,TX,1,0.0
"Andrews County, TX",48003,"Andrews County, TX",48003,Andrews County,TX,Andrews County,TX,1,0.0
"Angelina County, TX",48005,"Angelina County, TX",48005,Angelina County,TX,Angelina County,TX,1,0.0
"Aransas County, TX",48007,"Aransas County, TX",48007,Aransas County,TX,Aransas County,TX,1,0.0
"Archer County, TX",48009,"Archer County, TX",48009,Archer County,TX,Archer County,TX,1,0.0
"Armstrong County, TX",48011,"Armstrong County, TX",48011,Armstrong County,TX,Armstrong County,TX,1,0.0
"Atascosa County, TX",48013,"Atascosa County, TX",48013,Atascosa County,TX,Atascosa County,TX,1,0.0
"Austin County, TX",48015,"Austin County, TX",48015,Austin County,TX,Austin County,TX,1,0.0
"Bailey County, TX",48017,"Bailey County, TX",48017,Bailey County,TX,Bailey County,TX,1,0.0
"Bandera County, TX",48019,"Bandera County, TX",48019,Bandera County,TX,Bandera County,TX,1,0.0
"Bastrop County, TX",48021,"Bastrop County, TX",48021,Bastrop County,TX,Bastrop County,TX,1,0.0
"Baylor County, TX",48023,"Baylor County, TX",48023,Baylor County,TX,Baylor County,TX,1,0.0
"Bee County, TX",48025,"Bee County, TX",48025,Bee County,TX,Bee County,TX,1,0.0
"Bell County, TX",48027,"Bell County, TX",48027,Bell County,TX,Bell County,TX,1,0.0
"Bexar County, TX",48029,"Bexar County, TX",48029,Bexar County,TX,Bexar County,TX,1,0.0
"Blanco County, TX",48031,"Blanco County, TX",48031,Blanco County,TX,Blanco County,TX,1,0.0
"Borden County, TX",48033,"Borden County, TX",48033,Borden County,TX,Borden County,TX,1,0.0
"Bosque County, TX",48035,"Bosque County, TX",48035,Bosque County,TX,Bosque County,TX,1,0.0
"Bowie County, TX",48037,"Bowie County, TX",48037,Bowie County,TX,Bowie County,TX,1,0.0
"Brazoria County, TX",48039,"Brazoria County, TX",48039,Brazoria County,TX,Brazoria County,TX,1,0.0
"Brazos County, TX",48041,"Brazos County, TX",48041,Brazos County,TX,Brazos County,TX,1,0.0
"Brewster County, TX",48043,"Brewster County, TX",48043,Brewster County,TX,Brewster County,TX,1,0.0
"Briscoe County, TX",48045,"Briscoe County, TX",48045,Briscoe County,TX,Briscoe County,TX,1,0.0
"Brooks County, TX",48047,"Brooks County, TX",48047,Brooks County,TX,Brooks County,TX,1,0.0
"Brown County, TX",48049,"Brown County, TX",48049,Brown County,TX,Brown County,TX,1,0.0
"Burleson County, TX",48051,"Burleson County, TX",48051,Burleson County,TX,Burleson County,TX,1,0.0
"Burnet County, TX",48053,"Burnet County, TX",48053,Burnet County,TX,Burnet County,TX,1,0.0
"Caldwell County, TX",48055,"Caldwell County, TX",48055,Caldwell County,TX,Caldwell County,TX,1,0.0
"Calhoun County, TX",48057,"Calhoun County, TX",48057,Calhoun County,TX,Calhoun County,TX,1,0.0
"Callahan County, TX",48059,"Callahan County, TX",48059,Callahan County,TX,Callahan County,TX,1,0.0
"Cameron County, TX",48061,"Cameron County, TX",48061,Cameron County,TX,Cameron County,TX,1,0.0
