PHEV,BEV
14.0,95.0
32.0,35.0
1506.0,3722.0
756.0,2555.0
133.0,267.0
1181.0,1987.0
88.0,221.0
12.0,23.0
12.0,43.0
24.0,63.0
1462.0,3883.0
109.0,239.0
1166.0,1866.0
200.0,155.0
23.0,89.0
3.0,11.0
23.0,32.0
38.0,146.0
100.0,158.0
28.0,70.0
28.0,48.0
55.0,238.0
11.0,39.0
544.0,1159.0
562.0,1449.0
1197.0,3056.0
16.0,19.0
1339.0,4520.0
243.0,546.0
24.0,51.0
20.0,52.0
1400.0,4575.0
870.0,2522.0
92.0,204.0
1005.0,2307.0
24.0,48.0
135.0,301.0
13.0,13.0
47.0,25.0
19.0,49.0
1009.0,3411.0
79.0,113.0
947.0,1870.0
145.0,145.0
23.0,49.0
60.0,14.0
12.0,36.0
23.0,122.0
60.0,240.0
26.0,14.0
24.0,100.0
12.0,24.0
39.0,165.0
629.0,783.0
558.0,1708.0
13.0,13.0
1146.0,3224.0
14.0,22.0
1721.0,5732.0
293.0,1090.0
13.0,40.0
51.0,48.0
1924.0,5862.0
853.0,2785.0
101.0,193.0
1314.0,2095.0
11.0,114.0
36.0,33.0
154.0,343.0
40.0,44.0
25.0,13.0
1574.0,4692.0
81.0,206.0
959.0,2361.0
15.0,8.0
259.0,399.0
62.0,44.0
63.0,112.0
114.0,103.0
11.0,162.0
2.0,31.0
80.0,207.0
45.0,11.0
452.0,1104.0
751.0,1776.0
1560.0,3967.0
2094.0,5789.0
303.0,747.0
2.0,28.0
26.0,13.0
25.0,68.0
2032.0,4538.0
1183.0,3315.0
115.0,354.0
1421.0,2204.0
54.0,23.0
50.0,11.0
196.0,255.0
24.0,18.0
53.0,50.0
1544.0,4029.0
90.0,195.0
13.0,24.0
1216.0,2295.0
256.0,311.0
24.0,13.0
31.0,30.0
26.0,85.0
61.0,206.0
213.0,155.0
62.0,136.0
35.0,73.0
98.0,120.0
53.0,47.0
566.0,1286.0
677.0,1090.0
1359.0,3250.0
53.0,9.0
1391.0,4393.0
201.0,676.0
15.0,12.0
14.0,45.0
2092.0,4892.0
1244.0,2164.0
58.0,229.0
1019.0,2226.0
53.0,56.0
38.0,26.0
78.0,244.0
11.0,11.0
14.0,91.0
1674.0,3609.0
108.0,193.0
942.0,2104.0
13.0,6.0
185.0,212.0
55.0,13.0
53.0,54.0
23.0,18.0
18.0,26.0
51.0,217.0
152.0,110.0
13.0,14.0
