,Unnamed: 0,population,household_income,state,county
485,485,44944.0,16233.0,,Callaway County
486,486,45823.0,17300.0,,Camden County
487,487,78834.0,30215.0,,Cape Girardeau County
488,488,8723.0,3518.0,,Carroll County
489,489,6085.0,2334.0,,Carter County
490,490,14144.0,5573.0,,Cedar County
491,491,7449.0,2723.0,,Chariton County
492,492,6783.0,2633.0,,Clark County
493,493,246480.0,92514.0,,Clay County
494,494,76630.0,30291.0,,Cole County
495,495,17522.0,6342.0,,Cooper County
496,496,7571.0,3028.0,,Dade County
497,497,16841.0,6412.0,,Dallas County
498,498,11872.0,3800.0,,DeKalb County
499,499,15518.0,6355.0,,Dent County
500,500,29657.0,12119.0,,Dunklin County
501,501,103629.0,41127.0,,Franklin County
502,502,6576.0,2495.0,,Gentry County
503,503,291574.0,127532.0,,Greene County
504,504,8427.0,3361.0,,Harrison County
505,505,21854.0,9284.0,,Henry County
506,506,4374.0,2010.0,,Holt County
507,507,10022.0,3460.0,,Howard County
508,508,10150.0,4102.0,,Iron County
509,509,700733.0,291532.0,,Jackson County
510,510,224777.0,84978.0,,Jefferson County
511,511,3948.0,1400.0,,Knox County
512,512,35680.0,14413.0,,Laclede County
513,513,38241.0,14849.0,,Lawrence County
514,514,9898.0,3597.0,,Lewis County
515,515,12004.0,5002.0,,Linn County
516,516,14969.0,5907.0,,Livingston County
517,517,15154.0,5908.0,,Macon County
518,518,12176.0,4851.0,,Madison County
519,519,28572.0,11537.0,,Marion County
520,520,3623.0,1333.0,,Mercer County
521,521,13328.0,4998.0,,Mississippi County
522,522,15907.0,5450.0,,Moniteau County
523,523,11414.0,4995.0,,Montgomery County
524,524,20438.0,7639.0,,Morgan County
525,525,58288.0,22123.0,,Newton County
526,526,22199.0,8510.0,,Nodaway County
527,527,13613.0,5273.0,,Osage County
528,528,9138.0,4082.0,,Ozark County
529,529,19227.0,7577.0,,Perry County
530,530,42421.0,16193.0,,Pettis County
531,531,44587.0,18213.0,,Phelps County
532,532,18158.0,6653.0,,Pike County
533,533,102848.0,39918.0,,Platte County
534,534,32031.0,11833.0,,Polk County
535,535,52359.0,15061.0,,Pulaski County
536,536,4746.0,1698.0,,Putnam County
537,537,22728.0,9301.0,,Rockbridge County
538,538,26937.0,10975.0,,Russell County
539,539,21761.0,8710.0,,Scott County
540,540,30539.0,12694.0,,Smyth County
541,541,17829.0,6618.0,,Southampton County
542,542,150185.0,48160.0,,Stafford County
543,543,6459.0,2794.0,,Surry County
544,544,41201.0,16371.0,,Tazewell County
545,545,39888.0,14641.0,,Warren County
546,546,17873.0,7910.0,,Westmoreland County
547,547,38032.0,14916.0,,Wise County
548,548,68389.0,25517.0,,York County
549,549,158309.0,71289.0,,Alexandria city
550,550,6477.0,2509.0,,Buena Vista city
551,551,47217.0,18814.0,,Charlottesville city
552,552,17283.0,7094.0,,Colonial Heights city
553,553,5653.0,2382.0,,Covington city
554,554,40668.0,18266.0,,Danville city
555,555,23312.0,8751.0,,Fairfax city
556,556,14309.0,5631.0,,Falls Church city
557,557,29059.0,11059.0,,Fredericksburg city
558,558,6402.0,2614.0,,Galax city
559,559,53558.0,16751.0,,Harrisonburg city
560,560,22500.0,9362.0,,Hopewell city
561,561,80970.0,28223.0,,Lynchburg city
562,562,41038.0,13066.0,,Manassas city
563,563,12646.0,5597.0,,Martinsville city
564,564,179582.0,70376.0,,Newport News city
565,565,3969.0,1877.0,,Norton city
566,566,30791.0,13231.0,,Petersburg city
567,567,94961.0,36650.0,,Portsmouth city
568,568,17833.0,5677.0,,Radford city
569,569,99122.0,41694.0,,Roanoke city
570,570,25290.0,9876.0,,Salem city
571,571,24660.0,10638.0,,Staunton city
572,572,91383.0,34603.0,,Suffolk city
573,573,450882.0,172452.0,,Virginia Beach city
574,574,22300.0,9169.0,,Waynesboro city
575,575,15034.0,4485.0,,Williamsburg city
576,576,27912.0,10669.0,,Winchester city
577,577,19702.0,6035.0,WA,Adams County
578,578,22636.0,9286.0,WA,Asotin County
579,579,200715.0,73073.0,WA,Benton County
580,580,76653.0,29383.0,WA,Chelan County
581,581,76482.0,33197.0,WA,Clallam County
582,582,481950.0,178478.0,WA,Clark County
583,583,4024.0,1795.0,WA,Columbia County
584,584,108399.0,42354.0,WA,Cowlitz County
585,585,42520.0,15435.0,WA,Douglas County
586,586,7643.0,3175.0,WA,Ferry County
587,587,93681.0,27263.0,WA,Franklin County
588,588,2258.0,986.0,WA,Garfield County
589,589,96648.0,31908.0,WA,Grant County
590,590,73769.0,29433.0,WA,Grays Harbor County
591,591,84187.0,35326.0,WA,Island County
592,592,2225064.0,900061.0,WA,King County
593,593,268945.0,105758.0,WA,Kitsap County
594,594,47097.0,19162.0,WA,Kittitas County
595,595,79430.0,31118.0,WA,Lewis County
596,596,317665.0,130128.0,,Durham County
597,597,68027.0,25729.0,,Franklin County
598,598,8501.0,3521.0,,Graham County
599,599,532956.0,208234.0,,Guilford County
600,600,61862.0,26891.0,,Haywood County
601,601,5089.0,2056.0,,Hyde County
602,602,203308.0,71332.0,,Johnston County
603,603,56350.0,23494.0,,Lenoir County
604,604,35172.0,16062.0,,Macon County
605,605,1095170.0,421950.0,,Mecklenburg County
606,606,62050.0,23849.0,,Stanly County
607,607,14241.0,5741.0,,Swain County
608,608,235767.0,77791.0,,Union County
609,609,19746.0,8122.0,,Warren County
610,610,123785.0,48198.0,,Wayne County
611,611,37589.0,15247.0,,Yadkin County
612,612,931275.0,342059.0,,Bergen County
613,613,92701.0,40670.0,,Cape May County
614,614,291745.0,106376.0,,Gloucester County
615,615,368085.0,131440.0,,Mercer County
616,616,492715.0,184162.0,,Morris County
617,617,62754.0,24414.0,,Salem County
618,618,555208.0,191862.0,,Union County
619,619,375520.0,147043.0,,Allen County
620,620,11926.0,5105.0,,Blackford County
621,621,20137.0,8123.0,,Carroll County
622,622,26231.0,10454.0,,Clay County
623,623,33277.0,11354.0,,Daviess County
624,624,43193.0,16904.0,,DeKalb County
625,625,205184.0,72362.0,,Elkhart County
626,626,79156.0,31462.0,,Kosciusko County
627,627,110026.0,42725.0,,LaPorte County
628,628,957337.0,377695.0,,Marion County
629,629,35684.0,13531.0,,Miami County
630,630,70141.0,26460.0,,Morgan County
631,631,5890.0,2623.0,,Ohio County
632,632,16912.0,6005.0,,Parke County
633,633,169482.0,65153.0,,Porter County
634,634,37419.0,13651.0,,Putnam County
635,635,16632.0,6648.0,,Rush County
636,636,23785.0,9228.0,,Scott County
637,637,22996.0,8490.0,,Starke County
638,638,10727.0,4430.0,,Switzerland County
639,639,7140.0,2848.0,,Union County
640,640,107305.0,42657.0,,Vigo County
641,641,62608.0,24607.0,,Warrick County
642,642,28010.0,11122.0,,Wells County
643,643,213505.0,95859.0,,Barnstable County
644,644,17430.0,6887.0,,Dukes County
645,645,466647.0,180492.0,,Hampden County
646,646,11212.0,3709.0,,Nantucket County
647,647,51387.0,21171.0,,Darke County
648,648,74419.0,31319.0,,Erie County
649,649,1304715.0,519237.0,,Franklin County
650,650,93657.0,35303.0,,Geauga County
651,651,815790.0,344588.0,,Hamilton County
652,652,15132.0,6221.0,,Harrison County
653,653,43080.0,16747.0,,Highland County
654,654,58271.0,23050.0,,Huron County
655,655,8249.0,3188.0,,Nevada County
656,656,7753.0,2996.0,,Newton County
